position,sentLenInTokens,numPunct,numPrecedingNP,numFollowingNP,followsPrepPhrase,fourPosTagsPrecedingFollowing,followedByVBG,followedByPrep,numFollowingAdj,followsVerb,followedByVerb,followedByAdj,followedByNPAdj,numTokensPrecedingFollowingInfinitiveVerb,numTokensUntilNextPrep,followedBySeqAdjNP,depRelType,nextFollowingVerbInWeather,nextFollowingVerbInCognition
11,36,5,3,7,false,ADJ-NOUN-DET-VERB-PUNCT-PRON-VERB-VERB,false,false,1,true,false,false,false,16,7,false,dobj,false,false
1,26,6,0,7,false,ABS-ABS-ABS-ABS-VERB-ADV-ADJ-NOUN,false,false,2,false,true,false,false,0,0,false,nsubj,false,false
22,23,2,6,0,true,DET-ADJ-NOUN-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_of,false,false
14,18,2,4,1,true,PUNCT-CONJ-VERB-ADP-ADV-ADP-NOUN-PUNCT,false,false,0,false,false,false,false,0,1,false,prep_at,false,false
4,5,1,1,0,false,ABS-PROPN-ADV-VERB-PUNCT-ABS-ABS-ABS,false,false,0,true,false,false,false,0,0,false,nsubj,false,false
11,18,3,3,2,false,PROPN-PROPN-VERB-VERB-DET-ADJ-NOUN-PUNCT,false,false,1,true,false,false,true,0,0,false,dobj,false,false
28,33,4,5,1,true,PUNCT-VERB-ADP-ADP-ADP-ADP-DET-NOUN,false,true,0,false,false,false,false,0,0,false,pobj,false,false
1,13,1,0,3,false,ABS-ABS-ABS-ABS-VERB-NUM-ADP-DET,false,false,0,false,true,false,false,0,2,false,nsubj,false,false
1,22,2,0,5,false,ABS-ABS-ABS-ABS-VERB-PRON-ADP-PRON,false,false,2,false,true,false,false,0,2,false,nsubj,false,false
7,10,1,1,0,false,VERB-VERB-ADV-ADP-VERB-ADV-PUNCT-ABS,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
11,12,3,1,0,true,VERB-ADV-VERB-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_to,false,false
